,ADM0_ES,ADM0_PCODE,ADM1_ES,ADM1_PCODE
0,Puerto Rico,PR,Añasco,PR06
1,Puerto Rico,PR,Adjuntas,PR01
2,Puerto Rico,PR,Aguada,PR02
3,Puerto Rico,PR,Aguadilla,PR03
4,Puerto Rico,PR,Aguas Buenas,PR04
5,Puerto Rico,PR,Aibonito,PR05
6,Puerto Rico,PR,Arecibo,PR07
7,Puerto Rico,PR,Arroyo,PR08
8,Puerto Rico,PR,Barceloneta,PR09
9,Puerto Rico,PR,Barranquitas,PR10
10,Puerto Rico,PR,Bayamón,PR11
11,Puerto Rico,PR,Cabo Rojo,PR12
12,Puerto Rico,PR,Caguas,PR13
13,Puerto Rico,PR,Camuy,PR14
14,Puerto Rico,PR,Canóvanas,PR15
15,Puerto Rico,PR,Carolina,PR16
16,Puerto Rico,PR,Cataño,PR17
17,Puerto Rico,PR,Cayey,PR18
18,Puerto Rico,PR,Ceiba,PR19
19,Puerto Rico,PR,Ciales,PR20
20,Puerto Rico,PR,Cidra,PR21
21,Puerto Rico,PR,Coamo,PR22
22,Puerto Rico,PR,Comerío,PR23
23,Puerto Rico,PR,Corozal,PR24
24,Puerto Rico,PR,Culebra,PR25
25,Puerto Rico,PR,Dorado,PR26
26,Puerto Rico,PR,Fajardo,PR27
27,Puerto Rico,PR,Florida,PR28
28,Puerto Rico,PR,Guánica,PR29
29,Puerto Rico,PR,Guayama,PR30
30,Puerto Rico,PR,Guayanilla,PR31
31,Puerto Rico,PR,Guaynabo,PR32
32,Puerto Rico,PR,Gurabo,PR33
33,Puerto Rico,PR,Hatillo,PR34
34,Puerto Rico,PR,Hormigueros,PR35
35,Puerto Rico,PR,Humacao,PR36
36,Puerto Rico,PR,Isabela,PR37
37,Puerto Rico,PR,Jayuya,PR38
38,Puerto Rico,PR,Juana Díaz,PR39
39,Puerto Rico,PR,Juncos,PR40
40,Puerto Rico,PR,Lajas,PR41
41,Puerto Rico,PR,Lares,PR42
42,Puerto Rico,PR,Las Marías,PR43
43,Puerto Rico,PR,Las Piedras,PR44
44,Puerto Rico,PR,Loíza,PR45
45,Puerto Rico,PR,Luquillo,PR46
46,Puerto Rico,PR,Manatí,PR47
47,Puerto Rico,PR,Maricao,PR48
48,Puerto Rico,PR,Maunabo,PR49
49,Puerto Rico,PR,Mayagüez,PR50
50,Puerto Rico,PR,Moca,PR51
51,Puerto Rico,PR,Morovis,PR52
52,Puerto Rico,PR,Naguabo,PR53
53,Puerto Rico,PR,Naranjito,PR54
54,Puerto Rico,PR,Orocovis,PR55
55,Puerto Rico,PR,Patillas,PR56
56,Puerto Rico,PR,Peñuelas,PR57
57,Puerto Rico,PR,Ponce,PR58
58,Puerto Rico,PR,Quebradillas,PR59
59,Puerto Rico,PR,Río Grande,PR61
60,Puerto Rico,PR,Rincón,PR60
61,Puerto Rico,PR,Sabana Grande,PR62
62,Puerto Rico,PR,Salinas,PR63
63,Puerto Rico,PR,San Germán,PR64
64,Puerto Rico,PR,San Juan,PR65
65,Puerto Rico,PR,San Lorenzo,PR66
66,Puerto Rico,PR,San Sebastián,PR67
67,Puerto Rico,PR,Santa Isabel,PR68
68,Puerto Rico,PR,Toa Alta,PR69
69,Puerto Rico,PR,Toa Baja,PR70
70,Puerto Rico,PR,Trujillo Alto,PR71
71,Puerto Rico,PR,Utuado,PR72
72,Puerto Rico,PR,Vega Alta,PR73
73,Puerto Rico,PR,Vega Baja,PR74
74,Puerto Rico,PR,Vieques,PR75
75,Puerto Rico,PR,Villalba,PR76
76,Puerto Rico,PR,Yabucoa,PR77
77,Puerto Rico,PR,Yauco,PR78
